outcome,sbt_feature,effect,pvalue,std,z,label
Sex,mtDNA copy number,-0.026634746861218854,0.24001482099235477,0.022651609260362592,-1.1749497478900124,
Sex,5S rDNA copy number,-0.011788118145199436,0.6526301451964163,0.026179282069046485,-0.45011136114614014,
Sex,18S rDNA copy number,0.012063126910583501,0.644265244793268,0.026115047857180627,0.4617435384827578,
Sex,28S rDNA copy number,0.024850048782664325,0.3558000634246876,0.02689561955487336,0.9233975588418908,
Sex,45S rDNA copy number,0.022024576404029515,0.42028105148380424,0.02731363107854579,0.8059337470119239,
Sex,fungal load,0.002753129089343269,0.9114179543852197,0.024739188013857202,0.11125018793411683,
Sex,microbial load,-0.006364350348708123,0.7969597998635316,0.024728285956911535,-0.257283667195648,
Sex,protozoa load,-0.015461384515245861,0.5317190853898327,0.02471204660552124,-0.6253839624039492,
Sex,viral load,-0.0012610491875180048,0.9587431481408417,0.02436931383198888,-0.05173085910579785,
TP53,mtDNA copy number,0.00939221929916443,0.6796381958895754,0.022735325697780886,0.41295689413350517,
TP53,5S rDNA copy number,-0.01207353203811189,0.6457542199910001,0.02625558294964693,-0.4596684483364794,
TP53,18S rDNA copy number,-0.03894162031622837,0.13696517647663123,0.026157881830923907,-1.4871879547341063,
TP53,28S rDNA copy number,-0.06653510060799579,0.013537906248045786,0.026883911372450248,-2.4692963209593177,*
TP53,45S rDNA copy number,-0.053847447823864594,0.04921842092718338,0.0273371147919864,-1.9666946770776412,*
TP53,fungal load,0.005303295538713466,0.8307987554430432,0.02481090187728824,0.21367724748047828,
TP53,microbial load,-0.017666656123264613,0.4763354764428983,0.024793507359297955,-0.7122088193914462,
TP53,protozoa load,-0.0417632156299171,0.09186439877873062,0.024745435066516813,-1.68564394924942,
TP53,viral load,-0.015511023980632706,0.5257396421939021,0.024434230171873326,-0.6345228763992987,
EGFR,mtDNA copy number,0.00972747065381421,0.6241079273912413,0.01984263483432337,0.49003670261309495,
EGFR,5S rDNA copy number,0.03926186238836079,0.08650608409845766,0.02287612216652546,1.714123296422931,
EGFR,18S rDNA copy number,0.03673245050217806,0.10795697869474172,0.02282531478700378,1.6074441179684686,
EGFR,28S rDNA copy number,0.01770539878318831,0.45233676606065176,0.02354752462540324,0.7515249915723912,
EGFR,45S rDNA copy number,0.03641414609225896,0.12775005013567872,0.023883600515697545,1.523034596515921,
EGFR,fungal load,-0.03629386488912033,0.09355841568785289,0.021616846504520313,-1.6769185220237395,
EGFR,microbial load,-0.03705462502733632,0.08674361613546681,0.0216063827272467,-1.712831103773587,
EGFR,protozoa load,-0.04347990036088708,0.0442775710885758,0.0215813347459672,-2.0114535580840793,*
EGFR,viral load,-0.034551870323032405,0.10510862895659724,0.02129605030202045,-1.6205758782479227,
KRAS,mtDNA copy number,-0.045236845191738526,0.035536258224387586,0.021481637841584834,-2.1021943079909002,*
KRAS,5S rDNA copy number,0.03196108072389507,0.19880965251535773,0.024852343833781786,1.2849502987896764,
KRAS,18S rDNA copy number,-0.004028459744562295,0.8710920008028022,0.0248172851046677,-0.16227157125069996,
KRAS,28S rDNA copy number,-0.003123697728102247,0.902800451616906,0.025569699088357434,-0.12212445870293782,
KRAS,45S rDNA copy number,-0.011303453870832827,0.6633891651232695,0.025960837767727212,-0.4352387131204848,
KRAS,fungal load,0.004529120005663308,0.8472640582955442,0.023506618875364007,0.19261045251194006,
KRAS,microbial load,0.01254978309224495,0.5933654432588766,0.023493344499572372,0.5339654425543199,
KRAS,protozoa load,0.014428152519797885,0.5390964804938089,0.023481409027452334,0.6141798600587329,
KRAS,viral load,0.01288419530905557,0.5780085105565926,0.02315099978005363,0.5562960155374638,
LYMPH,mtDNA copy number,-0.02009485912545337,0.3661298345699501,0.022222163970862942,-0.9037465029823812,
LYMPH,5S rDNA copy number,-0.02193313097674107,0.3930390438095547,0.02566506411867302,-0.8541190245727128,
LYMPH,18S rDNA copy number,-0.00616116309100841,0.8099700693460008,0.025613255942221858,-0.24046464385263874,
LYMPH,28S rDNA copy number,-0.011583758667482682,0.6607904068667761,0.026387337788208752,-0.4388221534418716,
LYMPH,45S rDNA copy number,-0.005796837727380178,0.8287880982235218,0.0267964678616501,-0.2162561362580092,
LYMPH,fungal load,0.07640881800017214,0.0015863467760543894,0.02410746077122326,3.1584055988310946,***
LYMPH,microbial load,0.07435625372043767,0.0021099928013939033,0.024105739049098004,3.07429697520994,***
LYMPH,protozoa load,0.040692381618206944,0.09302623690553756,0.024197204400678865,1.6796458723657797,
LYMPH,viral load,0.06953062937979182,0.0035413669545553126,0.023769205379774484,2.9163643358664633,***
PLEURA,mtDNA copy number,-0.01718878924284007,0.36038404831610615,0.018782068981886405,-0.914633533437003,
PLEURA,5S rDNA copy number,0.0016985507283567222,0.937636500624406,0.02170229571030163,0.07824080897763745,
PLEURA,18S rDNA copy number,0.03898257995949815,0.0715557652162381,0.021604407745407988,1.801934158333458,
PLEURA,28S rDNA copy number,0.016174934975362844,0.4684241465887232,0.022297989662946428,0.7250454524861307,
PLEURA,45S rDNA copy number,0.030865294135087276,0.1728423667595779,0.022622337205355114,1.3631273872906249,
PLEURA,fungal load,-0.03612836755866598,0.07789621253242039,0.020465376614559355,-1.7630253601965535,
PLEURA,microbial load,-0.02321291450276461,0.25739692958435334,0.020480938259258893,-1.1325651048017542,
PLEURA,protozoa load,-0.0029686080178151844,0.8848324811022639,0.02048824912443433,-0.14484597633856064,
PLEURA,viral load,-0.02150439423990523,0.2870326810493491,0.020184728697687917,-1.064653674219247,
BRAIN,mtDNA copy number,0.023629568893513697,0.09785264131918536,0.014257582157776685,1.6553543444229908,
BRAIN,5S rDNA copy number,-0.01664342665459794,0.312956704777406,0.016483732327273872,-1.0090373858774442,
BRAIN,18S rDNA copy number,-0.03923694716516044,0.016930439834384938,0.01639424300776336,-2.3882148739250093,*
BRAIN,28S rDNA copy number,-0.021004003906510228,0.21527908841969198,0.016936208285307744,-1.2391793439172383,
BRAIN,45S rDNA copy number,-0.034443355730806265,0.04519788207356285,0.017170015661023073,-2.002808174924962,*
BRAIN,fungal load,-0.02314418738206161,0.1373898934997337,0.015563260202802395,-1.4855813409515402,
BRAIN,microbial load,-0.03214321906118123,0.03888440195645041,0.01553648308392497,-2.0654081090583114,*
BRAIN,protozoa load,-0.02633037983545304,0.09066542623739969,0.015543435947860252,-1.6918979851461486,
BRAIN,viral load,-0.02850889855357241,0.06310403566457023,0.015318270082740762,-1.8584577656050596,
Age,mtDNA copy number,-0.7064958235239693,0.16856145128917197,0.5126537390883824,-1.3768408718225813,
Age,5S rDNA copy number,0.663407915281309,0.26302612238008233,0.5922899210031932,1.119267298481796,
Age,18S rDNA copy number,-0.06316355088766512,0.914959317870509,0.5913095063897433,-0.10678528968542148,
Age,28S rDNA copy number,-0.21607437426069498,0.7229155140241136,0.6091879685517323,-0.3545649820977217,
Age,45S rDNA copy number,-0.2218780419824935,0.719921839406424,0.6185745414852452,-0.3585632551115739,
Age,fungal load,-0.7004016859089477,0.211027652952056,0.5595292465363545,-1.2507446546145278,
Age,microbial load,-0.4544514031951974,0.41700216675408763,0.5596256497900166,-0.8116331446689308,
