outcome,sbt_feature,effect,pvalue,std,label,z
EGFR,IGH Shannon,-0.006607520178298279,0.705043200162915,0.017445863400921562,,-0.37852153362289404
EGFR,IG κ Shannon,0.009593679578633989,0.5640906742093551,0.01662187897827819,,0.5767761629498378
EGFR,IG λ Shannon,0.007980266165540165,0.6338290351294833,0.0167425717816848,,0.4763444047788052
EGFR,TCR α Shannon,0.002210206481692588,0.9025213627582197,0.018036489405868696,,0.12247687047716704
EGFR,IG κ and λ richness,0.0010925663455629998,0.9516454360041742,0.018007775951106496,,0.06064060360999287
EGFR,BCR richness,-0.0011803707060343456,0.9483890184644748,0.018225893633582773,,-0.06472994711720707
EGFR,IGH richness,-0.013858408836209325,0.44291852697344036,0.018047113423231963,,-0.7672741624945528
EGFR,IG κ richness,0.0010240517609338032,0.9546141135726078,0.017983847662306943,,0.056913483338213666
EGFR,IG λ richness,9.761249797409161e-05,0.9956608608436833,0.017939748917327684,,0.0054383312551181725
EGFR,TCR richness,-0.009221704154777641,0.6130338733981351,0.018222031370918216,,-0.5057475638224065
EGFR,TCR α richness,-0.007822335863752448,0.6656334721951231,0.018089987578663314,,-0.4321485200484578
EGFR,IG κ and λ infiltration,-0.01333775578751523,0.4588950937645173,0.01799340772581589,,-0.7406674602885056
EGFR,BCR infiltration,-0.017179227184305326,0.3462862902533348,0.01822280752730726,,-0.941817097120478
EGFR,IGH infiltration,-0.022184152514291986,0.2129522263580225,0.017788231148989277,,-1.2454885374888414
EGFR,IG κ infiltration,-0.012559360311908836,0.48613515348985537,0.018019131235357293,,-0.6964690177439203
EGFR,IG λ infiltration,-0.010126711905214346,0.5679695437588639,0.017721572535426465,,-0.5710444035440128
EGFR,T cell infiltration,-0.01802108417674208,0.3127348295308609,0.017832951256015892,,-1.0095001504059933
EGFR,T cell α infiltration,-0.01824898442204134,0.3063285633733118,0.01782067896909582,,-1.022956183301163
EGFR,viral load,0.0006750449887218592,0.9660524480711442,0.01585292545128142,,0.04255979161568056
EGFR,fungal load,-0.0006027639731134176,0.9719626847930989,0.017141066475137388,,-0.0351467983055054
