outcome,sbt_feature,effect,pvalue,std,label,z
EGFR,viral load,-0.00433414986130113,0.7960913042020099,0.016763571032314923,,-0.25840895752580756
EGFR,fungal load,-0.022178143195488567,0.1631703130936609,0.01588091815427713,,-1.3944879258375564
EGFR,microbial load,-0.004430514799260922,0.7926900371506534,0.016848723478957297,,-0.26281906898926566
EGFR,mtDNA copy number,0.002225600332664956,0.904000282825889,0.018443647913868315,,0.120609577062039
EGFR,5S rDNA copy number,-0.01677187923694301,0.3042497229278446,0.016308533876548497,,-1.0273626690793936
EGFR,18S rDNA copy number,-0.03579727237143143,0.030043362719016194,0.016453398774555514,*,-2.1695182187067084
EGFR,28S rDNA copy number,-0.03740383806996997,0.019038382183517884,0.015900561188223986,*,-2.3447785768358522
EGFR,45S rDNA copy number,-0.0387387345628109,0.016985919123046447,0.01617505304910243,*,-2.3870123832311556
TP53,viral load,0.025108077952660963,0.2973661707805853,0.024068844205633575,,1.042098161717339
TP53,fungal load,0.015723278570921147,0.4918530981010073,0.022858027395678094,,0.6873644435930336
TP53,microbial load,0.031587806172872865,0.19195877430142727,0.024176352969503132,,1.3048064147021738
TP53,mtDNA copy number,-0.03189997080489739,0.22871878711731175,0.026470156553751296,,-1.20366577109763
TP53,5S rDNA copy number,-0.005465443137759889,0.8158999360103703,0.02346253815833448,,-0.23282160436878319
TP53,18S rDNA copy number,-0.06594406258266011,0.0053536327288406255,0.023575931631797383,**,-2.784947882576141
TP53,28S rDNA copy number,-0.040004986967688526,0.08137273517432027,0.022908779263652944,,-1.7427760856396388
TP53,45S rDNA copy number,-0.048783764924802187,0.03660750553814253,0.023278084199401063,*,-2.0901146103789787
KRAS,viral load,0.01542183682670962,0.48732372115803746,0.022187049034713906,,0.6945717502795701
KRAS,fungal load,0.0056831363643963335,0.7874479797417451,0.02106663528662813,,0.26962602086550114
KRAS,microbial load,0.016548934319240264,0.4583354887296016,0.022298306242439,,0.7415904874732899
KRAS,mtDNA copy number,-0.03383788216690923,0.16567530965174668,0.024374549863055713,,-1.3862345012411286
KRAS,5S rDNA copy number,0.033416648154899524,0.1218712446876256,0.02156504150614015,,1.546966828479478
KRAS,18S rDNA copy number,-0.003677878474866704,0.866619508652634,0.021886970522856885,,-0.16795394781427225
KRAS,28S rDNA copy number,0.017040645328814115,0.4209067817946025,0.021155168543077807,,0.8048490689609279
KRAS,45S rDNA copy number,0.008703842905777753,0.6862577721202017,0.021535003181082767,,0.40393873398361957
Sex,viral load,0.0027298514338665314,0.9092984246455156,0.023950104572752623,,0.11392351500165468
Sex,fungal load,0.047028765208198035,0.03824233079776159,0.02263497147469692,*,2.072247874551761
Sex,microbial load,0.01788335619579401,0.45763776932464795,0.02405894317978098,,0.7427422098794346
Sex,mtDNA copy number,0.0009741521206108258,0.9705230791594112,0.026349366702993673,,0.0369522494154342
